program_name,codes,downloaded_count,identified_count,obtainable_200_count,downloaded_over_obtainable_200_pct,downloaded_over_identified_pct,obtainable_200_over_identified_pct
Hit FM Dance电音,475,91,1946,1445,6.30,4.68,74.25
New Music Express新音乐速递,473,0,2018,1235,0.00,0.00,61.20
Big Drive Home开车现场秀,471,1,2011,1228,0.08,0.05,61.06
Lazy Afternoon慵懒下午茶,"20280,466",1,2021,946,0.11,0.05,46.81
At work network工作随身听,"20279,463",0,2019,935,0.00,0.00,46.31
hit morning show,461,5,1557,813,0.62,0.32,52.22
Morning Call音乐叫早,20276,0,973,793,0.00,0.00,81.50
Morning Hits阳光音乐早餐,460,0,461,427,0.00,0.00,92.62
Top 20 Countdown顶尖20排行榜,472,3,627,348,0.86,0.48,55.50
at 40,462,3,678,345,0.87,0.44,50.88
weekend ride,464,40,222,222,18.02,18.02,100.00
Hit the Road在路上,467,1,323,183,0.55,0.31,56.66
the night mix,459,1,1433,166,0.60,0.07,11.58
Weekend Morning Show周末早间音乐,20277,2,198,165,1.21,1.01,83.33
Hit FM OST电影原声坊,465,1,401,161,0.62,0.25,40.15
Soul Make心灵制造,20278,0,196,160,0.00,0.00,81.63
Rock DJ摇滚DJ,470,0,150,133,0.00,0.00,88.67
hitfm live,468,0,127,26,0.00,0.00,20.47
嘻哈公园,469,0,253,25,0.00,0.00,9.88
hitfm remix,474,0,206,25,0.00,0.00,12.14
music flow,32864,0,356,0,0.00,0.00,0.00
CTDM Chart《中国电子音乐巅峰榜》,32865,0,51,0,0.00,0.00,0.00
Hit FM Dance Carta & Co.电音-卡塔,54502,0,0,0,0.00,0.00,0.00
