period,downloaded_count,identified_count,obtainable_200_count
2014-09,56,55,55
2014-10,200,200,200
2014-11,184,184,184
2014-12,209,209,209
2015-01,211,210,210
2015-02,196,196,196
2015-03,175,216,168
2015-04,123,210,108
2015-05,112,217,111
2015-06,112,210,80
2015-07,116,217,78
2015-08,114,217,93
2015-09,112,210,75
2015-10,116,216,72
2015-11,110,208,94
2015-12,116,217,114
2016-01,114,217,113
2016-02,108,203,74
2016-03,116,217,57
2016-04,112,211,53
2016-05,114,216,42
2016-06,112,210,52
2016-07,110,216,86
2016-08,114,217,89
2016-09,112,210,60
2016-10,47,216,34
2016-11,8,210,8
2016-12,13,218,13
2017-01,9,216,9
2017-02,8,196,8
2017-03,14,182,14
2017-04,1,165,1
2017-05,0,174,0
2017-06,1,168,1
2017-07,1,169,2
2017-08,11,174,11
2017-09,0,167,0
2017-10,1,172,1
2017-11,1,168,1
2017-12,2,170,2
2018-01,1,174,1
2018-02,0,153,0
2018-03,8,172,8
2018-04,0,154,0
2018-05,0,174,0
2018-06,0,166,0
2018-07,0,172,0
2018-08,0,174,0
2018-09,15,172,14
2018-10,23,188,23
2018-11,22,178,21
2018-12,31,174,29
2019-01,24,186,24
2019-02,131,166,111
2019-03,167,175,151
2019-04,171,178,154
2019-05,184,191,177
2019-06,170,180,161
2019-07,185,192,172
2019-08,189,189,161
2019-09,182,181,130
2019-10,193,193,140
2019-11,183,183,178
2019-12,189,189,165
2020-01,193,193,137
2020-02,177,177,142
2020-03,189,189,166
2020-04,185,186,170
2020-05,185,187,171
2020-06,183,183,176
2020-07,193,192,179
2020-08,187,187,156
2020-09,184,184,171
2020-10,187,187,178
2020-11,177,177,171
2020-12,189,188,186
2021-01,180,180,179
2021-02,180,180,174
2021-03,182,181,176
2021-04,194,194,167
2021-05,192,192,170
2021-06,194,194,171
2021-07,200,227,193
2021-08,198,233,187
2021-09,191,225,188
2021-10,197,233,187
2021-11,194,228,173
2021-12,201,236,181
2022-01,194,229,174
2022-02,177,209,168
2022-03,198,232,171
2022-04,193,228,188
2022-05,198,233,186
2022-06,196,227,141
2022-07,9,8,6
