period,downloaded_count,identified_count,obtainable_200_count
2014-W39,42,41,41
2014-W40,47,47,47
2014-W41,47,47,47
2014-W42,47,47,47
2014-W43,43,43,43
2014-W44,40,40,40
2014-W45,33,33,33
2014-W46,47,47,47
2014-W47,47,47,47
2014-W48,47,47,47
2014-W49,47,47,47
2014-W50,47,47,47
2014-W51,47,47,47
2014-W52,47,47,47
2015-W01,47,47,47
2015-W02,47,47,47
2015-W03,47,47,47
2015-W04,48,47,47
2015-W05,49,49,49
2015-W06,49,49,49
2015-W07,49,49,49
2015-W08,49,49,49
2015-W09,49,49,49
2015-W10,49,49,49
2015-W11,49,49,49
2015-W12,37,49,36
2015-W13,26,49,22
2015-W14,26,49,20
2015-W15,26,49,20
2015-W16,26,49,23
2015-W17,37,49,36
2015-W18,24,49,23
2015-W19,26,49,26
2015-W20,26,49,26
2015-W21,26,49,26
2015-W22,26,49,25
2015-W23,26,49,19
2015-W24,26,49,20
2015-W25,26,49,20
2015-W26,26,49,18
2015-W27,26,49,15
2015-W28,26,49,17
2015-W29,26,49,20
2015-W30,26,49,16
2015-W31,26,49,19
2015-W32,26,49,20
2015-W33,26,49,21
2015-W34,26,49,21
2015-W35,26,49,22
2015-W36,26,49,21
2015-W37,26,49,17
2015-W38,26,49,15
2015-W39,26,49,16
2015-W40,25,47,17
2015-W41,26,49,11
2015-W42,26,49,18
2015-W43,27,49,19
2015-W44,26,49,18
2015-W45,26,49,20
2015-W46,26,49,21
2015-W47,26,49,21
2015-W48,26,48,26
2015-W49,26,49,26
2015-W50,26,49,25
2015-W51,26,49,25
2015-W52,26,49,26
2015-W53,26,49,26
2016-W01,26,49,26
2016-W02,26,49,26
2016-W03,26,49,26
2016-W04,26,49,25
2016-W05,26,49,20
2016-W06,26,49,23
2016-W07,26,49,16
2016-W08,26,49,12
2016-W09,26,49,15
2016-W10,26,49,12
2016-W11,26,49,12
2016-W12,26,49,12
2016-W13,26,49,15
2016-W14,26,49,11
2016-W15,26,49,12
2016-W16,26,49,12
2016-W17,26,49,14
2016-W18,26,49,12
2016-W19,26,49,9
2016-W20,26,49,7
2016-W21,26,49,10
2016-W22,26,49,7
2016-W23,26,49,9
2016-W24,26,49,11
2016-W25,26,49,15
2016-W26,23,49,15
2016-W27,25,48,24
2016-W28,26,49,20
2016-W29,26,49,21
2016-W30,26,49,18
2016-W31,26,49,16
2016-W32,24,49,22
2016-W33,26,49,21
2016-W34,26,49,19
2016-W35,26,49,19
2016-W36,26,49,17
2016-W37,25,49,7
2016-W38,27,49,14
2016-W39,26,49,18
2016-W40,26,49,17
2016-W41,11,49,9
2016-W42,2,48,2
2016-W43,2,49,2
2016-W44,2,49,2
2016-W45,2,49,2
2016-W46,2,49,2
2016-W47,2,49,2
2016-W48,6,49,6
2016-W49,2,49,2
2016-W50,2,49,2
2016-W51,2,49,2
2016-W52,2,49,2
2017-W01,2,49,2
2017-W02,2,49,2
2017-W03,2,49,2
2017-W04,2,49,2
2017-W05,2,49,2
2017-W06,2,49,2
2017-W07,2,49,2
2017-W08,2,49,2
2017-W09,5,49,5
2017-W10,0,39,0
2017-W11,0,39,0
2017-W12,0,39,0
2017-W13,9,39,9
2017-W14,1,39,1
2017-W15,0,39,0
2017-W16,0,39,0
2017-W17,0,39,0
2017-W18,0,39,0
2017-W19,0,39,0
2017-W20,0,39,0
2017-W21,0,39,0
2017-W22,1,39,1
2017-W23,0,39,0
2017-W24,0,39,0
2017-W25,0,39,0
2017-W26,0,37,0
2017-W27,0,39,0
2017-W28,0,39,0
2017-W29,0,39,1
2017-W30,1,39,1
2017-W31,1,39,1
2017-W32,0,39,0
2017-W33,0,39,0
2017-W34,1,39,1
2017-W35,9,39,9
2017-W36,0,39,0
2017-W37,0,39,0
2017-W38,0,39,0
2017-W39,0,39,0
2017-W40,0,39,0
2017-W41,0,39,0
2017-W42,0,39,0
2017-W43,1,39,1
2017-W44,0,39,0
2017-W45,1,39,1
2017-W46,0,39,0
2017-W47,0,39,0
2017-W48,1,39,1
2017-W49,0,38,0
2017-W50,0,39,0
2017-W51,1,39,1
2017-W52,0,39,0
2018-W01,0,39,0
2018-W02,0,39,0
2018-W03,1,39,1
2018-W04,0,39,0
2018-W05,0,39,0
2018-W06,0,38,0
2018-W07,0,38,0
2018-W08,0,38,0
2018-W09,0,38,0
2018-W10,0,39,0
2018-W11,0,39,0
2018-W12,0,39,0
2018-W13,8,39,8
2018-W14,0,27,0
2018-W15,0,39,0
2018-W16,0,39,0
2018-W17,0,39,0
2018-W18,0,39,0
2018-W19,0,39,0
2018-W20,0,39,0
2018-W21,0,39,0
2018-W22,0,39,0
2018-W23,0,38,0
2018-W24,0,39,0
2018-W25,0,39,0
2018-W26,0,39,0
2018-W27,0,39,0
2018-W28,0,39,0
2018-W29,0,39,0
2018-W30,0,39,0
2018-W31,0,39,0
2018-W32,0,39,0
2018-W33,0,39,0
2018-W34,0,39,0
2018-W35,1,39,1
2018-W36,0,39,0
2018-W37,3,40,3
2018-W38,6,42,5
2018-W39,5,42,5
2018-W40,6,42,6
2018-W41,5,42,5
2018-W42,6,42,6
2018-W43,3,41,3
2018-W44,5,42,5
2018-W45,5,42,4
2018-W46,5,41,5
2018-W47,5,40,5
2018-W48,6,41,6
2018-W49,12,40,12
2018-W50,5,40,5
2018-W51,6,41,5
2018-W52,5,39,4
2019-W01,7,41,7
2019-W02,5,41,5
2019-W03,5,41,5
2019-W04,5,42,5
2019-W05,6,41,6
2019-W06,23,43,17
2019-W07,41,43,34
2019-W08,39,41,35
2019-W09,40,41,37
2019-W10,39,41,35
2019-W11,37,38,30
